,Resident_Provider,Polygamous,Kids_Under_15_In_Settlement,Children_Under_15_outside_settlement,Spouses_on_settlement,Spouses_Outside_HH,recipient_of_wfp,recipient_of_hsnp,OPCT_received,PWSDCT_received,Relationship_MainProvider,Gender,Age,School_meal_receive,Work_last_7days,Main_provider_occupation,Toilet,Drinking_water,Donkeys_owned,Camels_owned,Zebu_cattle_owned,Shoats_owned,Nets_owned,Hooks_owned,Boats_rafts_owned
210,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,27,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,4,0,8,154,0,0,0
240,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,41,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,3,0,6,200,0,0,0
250,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,66,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,4,0,12,200,0,0,0
275,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,36,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,3,0,13,250,0,0,0
284,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,27,False,Homemaker,Main provider occupation not defined,Bush-None,Public tap,2,0,1,205,0,0,0
289,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,60,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,1,0,8,200,0,0,0
299,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,38,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,5,0,190,0,0,0
318,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,54,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,4,3,0,200,0,0,0
328,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,32,False,Homemaker,Main provider occupation not defined,Bush-None,Public tap,9,0,15,400,0,0,0
362,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,36,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,2,0,200,0,0,0
377,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,48,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,2,0,0,153,0,0,0
391,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,46,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,2,0,200,0,0,0
474,4.0,0.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Female,66,False,Doing nothing,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Public tap,1,0,0,150,0,0,0
512,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,42,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,5,0,0,200,0,0,0
549,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,49,False,Worked for pay,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Unprotected dug well/springs,0,0,0,0,4,2,3
589,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,56,False,Doing nothing,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,1,0,160,1,1,2
599,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,29,False,Homemaker,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Unprotected dug well/springs,0,0,0,0,4,1,3
605,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,66,False,Doing nothing,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,160,1,1,2
610,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,60,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,1,0,160,1,1,2
615,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,40,False,Other,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Tube well/borehole with pump,0,0,0,28,4,3,3
618,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,36,False,Worked for pay,"Casual unskilled labour, caretakers, messengers, watchman, housekeepers & domestic workers",Bush-None,Public tap,0,0,0,35,0,0,0
657,4.0,0.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Male,65,False,Doing nothing,Main provider occupation not defined,VIP latrine,Public tap,0,0,0,38,0,0,0
664,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,80,False,Doing nothing,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,1,0,150,1,1,2
672,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,22,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,200,1,1,2
718,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Male,64,False,Doing nothing,"Casual unskilled labour, caretakers, messengers, watchman, housekeepers & domestic workers",VIP latrine,Public tap,0,0,0,30,0,0,0
756,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,36,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,1,0,105,0,0,0
788,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,38,False,Other,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Unprotected dug well/springs,4,1,0,10,4,4,3
792,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,34,False,Other,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,"River, Lake, ponds or similar",1,0,0,40,5,1,3
856,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,30,False,Worked for pay,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,20,4,4,3
857,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,37,False,Doing nothing,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,0,0,70,0,0,0
872,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,50,False,Homemaker,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,"River, Lake, ponds or similar",0,0,0,4,4,1,3
924,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,40,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,150,1,1,2
1004,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Son,Male,38,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,3,6,0,105,0,0,0
1019,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,27,False,Worked on own/family business,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Covered pit latrine,Public tap,3,0,27,120,0,0,0
1028,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,44,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,3,4,0,135,0,0,0
1046,1.0,1.0,0.0,4.0,0.0,1.0,False,0,False,False,Spouse,Female,31,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,8,5,0,170,0,0,0
1061,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,43,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,0,1,1,2
1067,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,54,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,2,4,0,120,0,0,0
1082,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,55,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,152,0,0,0
1096,2.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,36,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,105,0,0,0
1124,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,28,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,158,0,0,0
1323,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,63,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,"River, Lake, ponds or similar",0,0,0,100,1,1,2
1358,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,41,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,"River, Lake, ponds or similar",0,1,1,150,0,0,0
1366,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,28,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,2,0,6,160,0,0,0
1479,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,27,False,Homemaker,Main provider occupation not defined,Bush-None,"River, Lake, ponds or similar",3,0,5,200,0,0,0
1542,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,56,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Public tap,3,0,5,180,0,0,0
1603,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Daughter,Female,36,False,Doing nothing,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Tube well/borehole with pump,0,0,0,0,4,2,3
1651,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,59,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,3,0,10,175,0,0,0
1705,3.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,30,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,4,0,30,300,0,0,0
1780,3.0,1.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Female,51,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,3,0,14,157,0,0,0
1945,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,68,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Public tap,3,0,10,100,0,0,0
2038,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,59,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,0,0,0,40,0,0,0
2044,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,39,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,70,1,1,2
2054,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,76,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,0,0,0,53,0,0,0
2089,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,43,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,10,158,0,0,0
2125,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,58,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,60,0,0,0
2183,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,49,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,"River, Lake, ponds or similar",0,0,0,100,0,0,0
2188,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,66,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,50,0,0,0
2214,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,27,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,35,0,0,0
2236,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Son,Male,39,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,1,0,15,220,0,0,0
2241,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,46,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,1,0,10,220,0,0,0
2252,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,49,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,2,0,13,200,0,0,0
2260,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,41,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,5,0,15,200,0,0,0
2261,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,40,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,5,0,8,200,0,0,0
2262,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,28,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,2,0,3,126,0,0,0
2269,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,56,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,1,0,4,150,0,0,0
2284,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,43,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,2,0,0,154,0,0,0
2292,1.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,64,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,2,2,0,153,0,0,0
2309,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,36,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,4,0,151,0,0,0
2341,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,27,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,3,0,4,158,0,0,0
2342,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,36,False,Doing nothing,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,40,0,0,0
2394,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,41,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,2,0,7,200,0,0,0
2447,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,37,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,3,200,0,0,0
2486,2.0,1.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,47,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,2,3,0,155,0,0,0
2563,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,48,False,Worked on own/family business,"Burn/sell charcoal, subsis. agric. (small-scale crop/ livestock) fisheries, forest work, agric. labour ( construc. polls, thatch grass)",Bush-None,Public tap,0,0,0,0,0,0,0
2571,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,39,False,Other,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Unprotected dug well/springs,0,0,0,15,4,3,3
2713,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,41,False,Homemaker,Main provider occupation not defined,Covered pit latrine,Piped water inside dwelling,0,0,0,0,0,0,0
2725,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,57,False,Other,Handicraft workers,Bush-None,Unprotected dug well/springs,0,0,0,55,3,1,2
2847,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,39,False,Worked on own/family business,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Tube well/borehole with pump,0,0,0,20,4,3,3
3055,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,43,False,Homemaker,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,56,0,0,0
3094,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,75,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,0,0,0,0
3127,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,80,False,Doing nothing,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,150,0,0,0
3244,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Son,Male,25,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,40,1,1,2
3249,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,52,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,3,4,0,30,0,0,0
3254,6.0,1.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,80,False,Doing nothing,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,3,5,0,50,0,0,0
3259,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,34,False,Worked on own/family business,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,20,1,1,2
3274,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,40,False,Worked on own/family business,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,3,0,30,0,0,0
3283,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,36,False,Worked on own/family business,Main provider occupation not defined,Bush-None,"River, Lake, ponds or similar",0,0,0,20,0,0,0
3383,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,51,False,Worked for pay,"Armed Forces, police or customs",Bush-None,Unprotected dug well/springs,1,0,0,50,1,1,2
3398,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,63,False,Worked on own/family business,Street vendors and related,Flush toilet,Piped water inside dwelling,50,0,24,500,0,0,0
3408,2.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,28,False,Worked on own/family business,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,1,2,1,100,0,0,0
3409,6.0,1.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,56,False,Other,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,60,0,0,0
3411,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,40,False,Other,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,30,1,1,2
3414,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,86,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,2,3,0,40,0,0,0
3418,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,68,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,5,5,0,20,1,1,2
3439,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,43,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,60,0,0,0
3492,6.0,1.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Female,32,False,Homemaker,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,1,2,0,30,0,0,0
3493,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,42,False,Worked on own/family business,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,2,0,20,0,0,0
3560,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,55,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,2,0,150,0,0,0
3573,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,33,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,9,0,102,0,0,0
3598,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,60,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,3,0,100,0,0,0
3600,4.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,38,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,1,0,250,0,0,0
3614,4.0,0.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Female,68,False,Other,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,50,0,0,0
3617,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,67,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,150,0,0,0
3641,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,34,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,105,0,0,0
3658,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Male,80,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,60,0,0,0
3718,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,58,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,0,3,3,220,0,0,0
3720,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,32,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,8,70,20,200,0,0,0
3721,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,36,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,4,50,8,200,0,0,0
3722,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,49,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,0,7,6,212,0,0,0
